POA&M Item ID,Control Vulnerability Description,Controls / APs,Security Checks,POA&M Status,POA&M Scheduled Completion Date,POA&M Requested Risk Accepted Expiration Date,POA&M Completion Date,Milestone ID,Milestone Description,Milestone Status,Milestone Status Comments,Milestone Scheduled Completion Date,Milestone Completion Date,Identification Source,Identification Source Details,Office/Org,Resources Required,Comments,Raw Severity,Devices Affected,Mitigations (in-house and in conjunction with the Navy CSSP),Predisposing Conditions,Severity,Relevance of Threat,Threat Description,Likelihood,Impact,Impact Description,Residual Risk Level,Recommendations,Resulting Residual Risk after Proposed Mitigations
,User control of proxy settings must be disabled.,AC-4,V-235719,Ongoing,,,,,,,,,,Microsoft Edge Security Technical Implementation Guide,,,,,low,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,The list of domains for which Microsoft Defender SmartScreen will not trigger warnings must be allowlisted if used.,MA-3(2),V-235722,Ongoing,,,,,,,,,,Microsoft Edge Security Technical Implementation Guide,,,,,low,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,URLs must be allowlisted for plugin use if used.,CM-11(2),V-235753,Ongoing,,,,,,,,,,Microsoft Edge Security Technical Implementation Guide,,,,,low,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Extensions that are approved for use must be allowlisted if used.,CM-7(5),V-235755,Ongoing,,,,,,,,,,Microsoft Edge Security Technical Implementation Guide,,,,,low,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,The list of domains media autoplay allows must be allowlisted if used.,CM-7,V-251694,Ongoing,,,,,,,,,,Microsoft Edge Security Technical Implementation Guide,,,,,low,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows Server 2022 nonadministrative accounts or groups must only have print permissions on printer shares.,AC-3,V-254255,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,low,SOT-WIN2K22-01,,,,,,,,,,,
,The Windows Server 2022 time service must synchronize with an appropriate DOD time source.,SC-45(1),V-254281,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,low,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Defender Firewall with Advanced Security log size must be configured for private network connections.,AU-5,V-241999,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,low,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows Defender Firewall with Advanced Security must log dropped packets when connected to a private network.,AU-12,V-242000,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,low,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows Defender Firewall with Advanced Security must log successful connections when connected to a private network.,,V-242001,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,low,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows Defender Firewall with Advanced Security log size must be configured for public network connections.,AU-5,V-242006,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,low,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows Defender Firewall with Advanced Security must log dropped packets when connected to a public network.,AU-12,V-242007,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,low,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows Defender Firewall with Advanced Security must log successful connections when connected to a public network.,,V-242008,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,low,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,.Net applications that invoke NetFx40_LegacySecurityPolicy must apply previous versions of .NET STIG guidance.,CM-6,V-225232,Ongoing,,,,,,,,,,Microsoft DotNet Framework 4.0 Security Technical Implementation Guide,,,,,low,"SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,.NET default proxy settings must be reviewed and approved.,CM-6,V-225234,Ongoing,,,,,,,,,,Microsoft DotNet Framework 4.0 Security Technical Implementation Guide,,,,,low,"SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows Defender Firewall with Advanced Security log size must be configured for domain connections.,AU-5,V-241994,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,low,"SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows Defender Firewall with Advanced Security must log dropped packets when connected to a domain.,AU-12,V-241995,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,low,"SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows Defender Firewall with Advanced Security must log successful connections when connected to a domain.,,V-241996,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,low,"SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,The IIS 10.0 web server must enable HTTP Strict Transport Security (HSTS).,CM-6,V-218827,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,low,SOT-WIN2K22-WEB,,,,,,,,,,,
,Unused accounts must be disabled or removed from the system after 35 days of inactivity.,AU-12,V-253268,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,low,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Standard local user accounts must not exist on a system in a domain.,CM-6,V-253272,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,low,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,The Windows 11 time service must synchronize with an appropriate DOD time source.,SC-45(1),V-253296,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,low,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows 11 must be configured to prevent users from receiving suggestions for third-party or additional applications.,CM-7,V-253425,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,low,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,The Windows message title for the legal notice must be configured.,AC-8,V-253446,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,low,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,Toast notifications to the lock screen must be turned off.,CM-7,V-253477,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,low,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Firefox autoplay must be disabled.,CM-7,V-251565,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,low,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Adobe Acrobat Pro DC Continuous periodic downloading of Adobe European certificates must be disabled.,SC-23(5),V-213126,Ongoing,,,,,,,,,,Adobe Acrobat Professional DC Continuous Track Security Technical Implementation Guide,,,,,low,"WKS2-SOTERIA, WKS3-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Adobe Acrobat Pro DC Continuous Periodic downloading of Adobe certificates must be disabled.,SC-23(5),V-213138,Ongoing,,,,,,,,,,Adobe Acrobat Professional DC Continuous Track Security Technical Implementation Guide,,,,,low,"WKS2-SOTERIA, WKS3-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Check for publishers certificate revocation must be enforced.,IA-5(2),V-223016,Ongoing,,,,,,,,,,Microsoft Internet Explorer 11 Security Technical Implementation Guide,,,,,low,"WKS2-SOTERIA, WKS3-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Adobe Reader DC must disable periodical uploading of European certificates.,SC-23(5),V-213190,Ongoing,,,,,,,,,,Adobe Acrobat Reader DC Continuous Track Security Technical Implementation Guide,,,,,low,WKS7-SOTERIA,,,,,,,,,,,
,Adobe Reader DC must disable periodical uploading of Adobe certificates.,SC-23(5),V-213191,Ongoing,,,,,,,,,,Adobe Acrobat Reader DC Continuous Track Security Technical Implementation Guide,,,,,low,WKS7-SOTERIA,,,,,,,,,,,
,Develop the results of information security measures of performance.,PM-6,CCI-000209,Ongoing,,,,,,,,,,This is done on a per contract basis for the agency or organization and must be reviewed and updated accordingly.,,,,,Low,,,,,,,,,,,,
,Develop the results of information security measures of performance.,PM-6,CCI-000210,Ongoing,,,,,,,,,,This is done on a per contract basis for the agency or organization and must be reviewed and updated accordingly.,,,,,Low,,,,,,,,,,,,
,Develop the results of information security measures of performance.,PM-6,CCI-000211,Ongoing,,,,,,,,,,This is done on a per contract basis for the agency or organization and must be reviewed and updated accordingly.,,,,,Low,,,,,,,,,,,,
,"Develop an enterprise architecture with consideration for information security and the resulting risk to organizational operations, organizational assets, individuals, other organizations, and the Nation.",PM-7,CCI-000212,Ongoing,,,,,,,,,,This is done on a per contract basis for the agency or organization and must be reviewed and updated accordingly.,,,,,Low,,,,,,,,,,,,
,Address information security issues in the development and documentation of a critical infrastructure and key resources protection plan.,PM-8,CCI-001640,Ongoing,,,,,,,,,,This is done on a per contract basis for the agency or organization and must be reviewed and updated accordingly.,,,,,Low,,,,,,,,,,,,
,"Develop a comprehensive strategy to manage security risk to organizational operations and assets, individuals, other organizations, and the Nation associated with the operation and use of information systems.",PM-9,CCI-000227,Ongoing,,,,,,,,,,This is done on a per contract basis for the agency or organization and must be reviewed and updated accordingly.,,,,,Low,,,,,,,,,,,,
,"Develop a comprehensive strategy to manage security risk to organizational operations and assets, individuals, other organizations, and the Nation associated with the operation and use of information systems.",PM-9,CCI-000228,Ongoing,,,,,,,,,,This is done on a per contract basis for the agency or organization and must be reviewed and updated accordingly.,,,,,Low,,,,,,,,,,,,
,"Develop a comprehensive strategy to manage security risk to organizational operations and assets, individuals, other organizations, and the Nation associated with the operation and use of information systems.",PM-9,CCI-002994,Ongoing,,,,,,,,,,This is done on a per contract basis for the agency or organization and must be reviewed and updated accordingly.,,,,,Low,,,,,,,,,,,,
,"Develop a comprehensive strategy to manage security risk to organizational operations and assets, individuals, other organizations, and the Nation associated with the operation and use of information systems.",PM-9,CCI-002995,Ongoing,,,,,,,,,,This is done on a per contract basis for the agency or organization and must be reviewed and updated accordingly.,,,,,Low,,,,,,,,,,,,
,Designate individuals to fulfill specific roles and responsibilities within the organizational risk management process.,PM-10,CCI-000233,Ongoing,,,,,,,,,,This is done on a per contract basis for the agency or organization and must be reviewed and updated accordingly.,,,,,Low,,,,,,,,,,,,
,Designate individuals to fulfill specific roles and responsibilities within the organizational risk management process.,PM-10,CCI-000234,Ongoing,,,,,,,,,,This is done on a per contract basis for the agency or organization and must be reviewed and updated accordingly.,,,,,Low,,,,,,,,,,,,
,Provide irrefutable evidence that an individual (or process acting on behalf of an individual) falsely denying having performed organization-defined actions to be covered by non-repudiation.,AU-10,CCI-001899,Ongoing,,,,,,,,,,Compliance Statement for AU-10 CCI-001899,,,,,Low,,,,,,,,,,,,
,Retain audit records for an organization-defined time period to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements.,AU-11,CCI-000167,Ongoing,,,,,,,,,,Compliance Statement for AU-11 CCI-000167,,,,,Low,,,,,,,,,,,,
,Retain audit records for an organization-defined time period to provide support for after-the-fact investigations of incidents and to meet regulatory and organizational information retention requirements.,AU-11,CCI-000168,Ongoing,,,,,,,,,,Compliance Statement for AU-11 CCI-000168,,,,,Low,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
